church_name,city,state,denomination,email,contact_person,source_url,draft_created,sent_on,reply,do_not_contact
Bangalore Central Church of Christ,Bengaluru,Karnataka,Church of Christ,contact@blrchurchofchrist.in,,https://www.blrchurchofchrist.in/contact-us/,,,,
Bethel AG Church International Worship Centre (Hebbal),Bengaluru,Karnataka,Assemblies of God,info@bethelag.in,Rev. Johnson,https://bethelag.in/contact/,,,,
Richmond Town Methodist Church,Bengaluru,Karnataka,Methodist,contact@rtmc.church,,https://rtmc.church/,,,,
Sharon AG Church (Jalahalli),Bengaluru,Karnataka,Assemblies of God,contactusatsharonagchurch@gmail.com,,https://www.sharonagchurch.org/,,,,
Amazing Grace AG Church,Bengaluru,Karnataka,Assemblies of God,ag.abrahamalfred@gmail.com,Rev. Dr. I. Abraham Alfred,https://www.agagchurch.org/,,,,
St. Vincent Pallotti Church (Banaswadi),Bengaluru,Karnataka,Catholic,office@svpchurchbanaswadi.org,,https://pallottichurchbangalore.com/,,,,
CSI East Parade Malayalam Church,Bengaluru,Karnataka,CSI,epmalayalam@gmail.com,,https://csieastparade.com/,,,,
Holy Redeemer Church (Hennur),Bengaluru,Karnataka,Catholic,holyredeemer2010@gmail.com,Fr. Christopher Ponnusamy,https://www.bangalorearchdiocese.org/parish-directory,,,,
Annunciation Church (Benson Town),Bengaluru,Karnataka,Catholic,annunciation.church@ymail.com,Fr. Balraj J,https://www.bangalorearchdiocese.org/parish-directory,,,,
Immaculate Heart of Mary Church (Kalena Agrahara),Bengaluru,Karnataka,Catholic,parishimhc@gmail.com,Fr. Balraju A,https://www.bangalorearchdiocese.org/parish-directory,,,,
Our Lady of Sacred Heart Church (Haralur Rd/HSR),Bengaluru,Karnataka,Catholic,churcholsh@gmail.com,Fr. John Chinnapan,https://www.bangalorearchdiocese.org/parish-directory,,,,
Resurrection Church (Indiranagar),Bengaluru,Karnataka,Catholic,dineshamarnath@gmail.com,Fr. Amarnath Dinesh Roy,https://www.bangalorearchdiocese.org/parish-directory,,,,
Sacred Heart Church (Richmond Road),Bengaluru,Karnataka,Catholic,santhosh.royan@gmail.com,Fr. Lourdu Xavier Santhosh,https://www.bangalorearchdiocese.org/parish-directory,,,,
Our Lady of Lourdes Church (Halasuru),Bengaluru,Karnataka,Catholic,frmlouis@gmail.com,Fr. Maria Louis,https://www.bangalorearchdiocese.org/parish-directory,,,,
